,Q1,Q4_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3
0,  511,0,5,2,1,3,4,1,3,2,3
1,401,19,3,2,1,2,3,1,3,4,2
2,425,54,3,3,2,2,3,2,3,4,2
3,403,10,4,1,1,4,4,1,4,4,4
4,404,10,3,2,1,3,5,2,4,3,3
5,404,26,4,2,1,3,4,1,3,4,4
6,405,61,3,3,1,2,4,3,3,3,3
7,406,9,4,1,1,4,4,1,3,3,3
8,407,1,5,1,1,5,1,1,1,3,3
9,408,0,4,1,1,4,4,1,2,5,4
10,409,0,4,1,1,4,4,1,1,3,4
11,410,8,4,2,1,4,3,2,3,4,4
12,411,0,4,1,1,4,3,1,2,5,4
13,412,19,3,3,1,3,2,1,2,4,3
14,413,40,2,2,1,3,2,1,2,4,4
15,415,1,4,3,1,4,1,1,3,4,3
16,417,12,4,2,1,3,4,2,2,3,4
17,419,30,3,1,1,3,2,1,5,3,2
18,420,9,4,1,1,4,4,2,2,3,3
19,421,51,3,3,1,3,4,1,3,4,3
20,423,2,3,1,1,2,2,1,1,4,3
21,424,5,5,1,1,4,3,1,3,2,3
22,426,10,4,2,1,4,5,2,3,4,3
23,427,4,3,1,1,3,2,1,2,4,4
24,428,50,2,2,1,2,3,3,3,5,5
25,429,50,2,1,1,3,3,2,2,3,4
26,430,2,4,1,1,5,4,1,1,4,4
27,431,9,5,1,1,5,4,1,1,5,3
28,432,16,3,2,1,3,4,1,1,5,4
29,433,2,3,1,1,2,3,1,2,4,3
30,433,10,2,2,1,2,2,1,2,4,4
31,434,20,3,2,1,3,4,2,3,3,4
32,435,8,3,2,1,3,3,1,3,3,3
33,436,7,4,1,1,4,4,2,2,3,4
34,437,0,4,3,1,5,4,1,3,3,3
35,439,30,2,1,1,3,2,1,3,1,2
36,440,55,3,3,2,2,1,4,3,3,2
37,441,0,5,1,1,5,5,1,1,5,1
38,442,10,3,2,1,3,2,2,2,2,1
39,443,1,2,1,1,2,2,2,3,4,3
40,444,2,4,1,1,4,4,1,4,4,4
41,445,61,4,3,1,2,4,1,2,4,3
42,447,10,3,2,1,2,1,1,2,3,4
43,448,0,5,1,1,4,4,1,2,4,4
44,449,9,4,1,2,4,4,1,2,5,2
45,450,39,3,4,2,2,3,1,3,4,3
46,451,30,3,2,1,4,3,1,2,4,2
47,452,6,5,1,1,5,5,1,2,5,4
48,453,17,3,2,1,3,4,1,3,2,2
49,454,6,4,2,1,3,1,1,4,3,2
50,455,9,4,1,1,4,3,1,2,5,4
51,456,0,5,2,1,3,5,2,3,4,4
52,457,0,3,2,1,3,5,1,4,3,3
53,458,0,5,1,1,4,5,1,2,4,3
54,459,1,2,1,1,2,2,1,2,3,3
55,460,5,5,1,1,4,5,1,1,4,4
56,461,5,1,1,2,4,4,1,2,5,4
57,463,0,3,2,1,3,2,1,3,4,4
58,464,6,5,1,1,5,5,1,3,3,3
59,465,0,4,1,1,1,3,2,2,4,3
60,466,0,5,1,1,4,2,1,2,5,3
61,467,10,4,1,1,4,3,1,1,3,4
62,468,10,3,1,1,4,3,1,4,4,3
63,469,12,4,1,1,3,4,1,1,4,4
64,470,1,5,1,1,5,5,1,1,5,5
65,471,1,3,1,1,3,4,1,4,4,4
66,472,20,3,1,1,3,3,1,2,4,4
67,473,0,5,1,1,4,5,1,1,5,4
68,474,25,4,2,1,4,5,2,2,5,4
69,475,60,3,3,1,3,2,2,3,4,3
70,476,0,5,1,1,4,4,1,3,4,2
71,477,20,3,1,1,4,3,2,3,3,3
72,478,1,5,1,1,5,4,1,1,5,3
73,479,0,4,1,1,4,4,1,2,3,3
74,480,0,4,1,1,4,4,1,1,5,4
75,481,10,5,1,1,5,4,2,1,4,5
76,483,50,3,1,1,3,3,3,3,3,2
77,485,20,4,2,1,5,4,2,3,4,4
78,486,0,3,1,3,3,3,3,4,4,3
79,487,26,4,3,1,4,3,2,4,3,3
80,488,2,5,1,1,4,5,1,1,5,4
81,489,3,3,1,1,3,3,1,4,4,5
82,490,49,3,3,1,2,3,1,2,4,3
83,491,25,2,1,2,3,2,1,3,3,3
84,492,2,5,1,1,5,4,1,3,4,3
85,493,30,3,2,1,3,4,1,2,4,3
86,494,6,3,2,1,2,2,1,4,4,3
87,496,1,4,1,1,4,4,1,3,5,5
88,497,22,4,2,1,4,4,1,2,4,4
89,498,40,3,2,1,3,3,3,3,3,4
90,499,5,4,1,1,5,5,1,2,4,4
91,500,4,5,2,1,4,4,1,1,4,4
92,501,14,4,2,1,4,5,1,2,4,4
93,501,1,4,1,1,4,4,1,2,5,5
94,502,19,4,2,1,4,3,1,2,1,2
95,503,0,5,1,1,5,5,1,2,5,4
96,504,65,3,3,2,2,4,2,3,3,4
97,505,50,3,2,4,3,2,2,3,3,4
98,506,30,2,3,1,2,4,2,2,4,4
99,507,10,5,1,1,5,5,1,2,3,3
100,508,30,5,1,1,4,4,3,3,3,3
101,509,35,3,3,1,2,2,1,2,5,4
102,510,10,2,1,1,2,1,2,4,2,1
103,513,0,5,1,1,5,5,1,2,5,5
104,514,53,2,2,1,3,2,3,3,3,2
105,515,15,3,2,1,2,5,2,3,4,4
106,516,12,2,1,1,1,2,1,4,4,3
107,517,1,5,1,1,5,5,1,3,4,4
108,518,1,4,1,1,4,3,1,4,4,5
109,519,1,5,1,1,5,5,1,1,3,4
110,520,1,4,2,1,4,3,1,2,4,3
111,521,3,4,1,1,3,3,1,2,2,3
112,522,5,3,2,1,2,2,1,3,3,3
113,523,4,4,1,1,3,3,1,3,4,4
114,524,1,4,1,1,5,4,1,2,4,4
115,525,10,4,2,1,3,4,1,2,4,3
116,527,15,4,1,1,4,4,1,2,4,4
117,528,14,4,2,1,4,3,2,2,4,4
118,529,50,3,3,2,2,3,1,3,4,3
119,530,20,4,1,1,4,2,1,3,4,3
120,531,41,2,3,1,2,4,3,3,3,3
121,532,47,4,2,1,4,3,2,5,2,3
122,533,23,3,4,1,2,4,2,3,3,3
123,534,12,4,2,1,3,4,1,1,5,4
124,535,5,2,1,1,2,3,1,1,3,3
125,536,0,4,1,1,4,4,1,1,5,5
126,537,3,4,1,1,4,3,1,4,3,3
127,538,0,5,1,1,5,5,1,5,5,2
128,539,2,4,1,1,5,4,1,2,4,5
129,540,10,3,1,1,3,4,1,3,3,3
130,541,79,4,1,1,4,3,1,3,3,3
131,542,0,3,2,1,2,3,1,2,3,3
132,543,65,3,3,1,3,3,3,3,2,3
133,544,83,2,4,1,2,2,4,3,3,2
134,545,30,2,2,1,3,1,1,1,5,4
135,546,60,3,2,1,2,4,2,2,5,4
136,547,3,4,1,1,5,4,1,4,3,3
137,549,3,4,1,4,3,4,1,1,5,4
138,550,24,3,1,1,2,3,3,3,3,3
139,551,0,1,1,1,4,5,1,1,5,4
140,552,10,4,1,1,4,4,1,3,4,3
141,553,30,2,3,1,2,1,3,3,3,3
142,554,40,2,3,1,2,3,3,5,1,1
143,555,1,4,1,1,4,5,1,3,3,3
144,556,25,4,4,1,3,4,2,2,4,4
145,557,15,4,1,1,5,5,2,2,3,3
146,561,42,3,1,1,3,4,1,3,4,4
147,562,20,3,2,2,4,4,1,2,4,4
148,563,26,3,2,1,4,3,2,4,3,3
149,564,14,2,2,1,2,4,1,2,3,4
