Subject ID,Gender,Session 1,Session 2
401,Female,Cold,Hot
402,Male,Hot,Cold
403,Male,Cold,Hot
404,Female,Hot,Cold
405,Female,Cold,Hot
406,Male,Hot,Cold
407,Female,Cold,Hot
408,Male,Hot,Cold
409,Male,Cold,Hot
410,Female,Hot,Cold
411,Male,Cold,Hot
412,Female,Hot,Cold
413,Male,Cold,Hot
414,Male,Hot,Cold
415,Female,Hot,Cold
416,Female,Hot,Cold
417,Male,Cold,Hot
418,Male,Hot,Cold
419,Female,Cold,Hot
420,Female,Hot,Cold
421,Female,Cold,Hot
422,Male,Hot,Cold
423,Female,Hot,Cold
424,Male,Hot,Cold
425,Female,Cold,Hot
426,Female,Cold,Hot
427,Female,Hot,Cold
428,Female,Hot,Cold
429,Female,Cold,Hot
430,Female,Hot,Cold
431,Male,Cold,Hot
432,Male,Hot,Cold
433,Female,Hot,Cold
434,Female,Cold,Hot
435,Male,Cold,Hot
436,Male,Hot,Cold
437,Male,Cold,Hot
438,Male,Hot,Cold
439,Female,Cold,Hot
440,Female,Hot,Cold
441,Male,Cold,Hot
442,Male,Hot,Cold
443,Male,Cold,Hot
444,Male,Hot,Cold
445,Female,Cold,Hot
446,Male,Hot,Cold
447,Female,Cold,Hot
448,Male,Cold,Hot
449,Female,Cold,Hot
450,Male,Hot,Cold
451,Male,Hot,Cold
452,Male,Hot,Cold
453,Female,Cold,Hot
454,Male,Cold,Hot
455,Male,Cold,Hot
456,Male,Hot,Cold
457,Male,Cold,Hot
458,Male,Hot,Cold
459,Male,Cold,Hot
460,Female,Hot,Cold
461,Male,Cold,Hot
462,Male,Hot,Cold
463,Female,Cold,Hot
464,Male,Hot,Cold
465,Male,Cold,Hot
466,Male,Cold,Hot
467,Male,Cold,Hot
468,Female,Hot,Cold
469,Male,Cold,Hot
470,Female,Cold,Hot
471,Male,Cold,Hot
472,Male,Hot,Cold
473,Female,Cold,Hot
474,Male,Hot,Cold
475,Female,Cold,Hot
476,Male,Hot,Cold
477,Female,Cold,Hot
478,Female,Hot,Cold
479,Male,Cold,Hot
480,Male,Hot,Cold
481,Male,Hot,Cold
482,Male,Hot,Cold
483,Female,Cold,Hot
484,Other,Hot,Cold
485,Female,Cold,Hot
486,Male,Hot,Cold
487,Female,Cold,Hot
488,Male,Hot,Cold
489,Female,Cold,Hot
490,Male,Hot,Cold
491,Female,Cold,Hot
492,Female,Hot,Cold
493,Male,Cold,Hot
494,Male,Hot,Cold
495,Female,Cold,Hot
496,Male,Hot,Cold
497,Male,Cold,Hot
498,Male,Hot,Cold
499,Male,Cold,Hot
500,Male,Hot,Cold
501,Male,Hot,Cold
502,Female,Hot,Cold
503,Female,Cold,Hot
504,Female,Hot,Cold
505,Female,Cold,Hot
506,Male,Hot,Cold
507,Male,Cold,Hot
508,Male,Cold,Hot
509,Female,Cold,Hot
510,Female,Hot,Cold
511,Male,Cold,Hot
512,Male,Hot,Cold
513,Male,Cold,Hot
514,Female,Hot,Cold
515,Male,Cold,Hot
516,Female,Hot,Cold
517,Female,Cold,Hot
518,Female,Hot,Cold
519,Male,Cold,Hot
520,Male,Hot,Cold
521,Male,Cold,Hot
522,Female,Hot,Cold
523,Female,Cold,Hot
524,Female,Cold,Hot
525,Male,Cold,Hot
526,Female,Hot,Cold
527,Male,Hot,Cold
528,Male,Hot,Cold
529,Male,Cold,Hot
530,Male,Cold,Hot
531,Female,Cold,Hot
532,Male,Hot,Cold
533,Male,Cold,Hot
534,Male,Hot,Cold
535,Female,Cold,Hot
536,Male,Hot,Cold
537,Male,Cold,Hot
538,Female,Cold,Hot
539,Female,Cold,Hot
540,Female,Hot,Cold
541,Male,Cold,Hot
542,Male,Hot,Cold
543,Female,Cold,Hot
544,Female,Hot,Cold
545,Female,Cold,Hot
546,Male,Hot,Cold
547,Female,Cold,Hot
548,Female,Hot,Cold
549,Female,Cold,Hot
550,Female,Hot,Cold
551,Female,Cold,Hot
552,Female,Hot,Cold
553,Female,Hot,Cold
554,Female,Hot,Cold
555,Female,Cold,Hot
556,Female,Hot,Cold
557,Female,Hot,Cold
558,Male,Hot,Cold
559,Female,Cold,Hot
560,Female,Hot,Cold
561,Female,Cold,Hot
562,Male,Hot,Cold
563,Female,Cold,Hot
564,Non-Binary,Cold,Hot